pt,en
resquícios,remnants
arrebatamento,rapture
renovador,renovator
principiante,beginner
vácuo,vacuum
displicente,careless
esperar-se-ia,would be expected
enunciadas,enunciated
impraticável,impractical
pega,handle
aplica-o,apply it
desprovido,devoid
eixos,axes
conhecerão,will meet
idêntico,identical
proteccionista,protectionist
intuo,I intuit
ilação,inference
tê-la,screen
receberam,received
sonegados,withheld
derramar,pour
firmados,signed
somenos,less
aguentar,to hold on
tempestades,storms
assolado,devastated
desinteresse,disinterest
otimismo,optimism
concedo,grant
gravitando,gravitating
refratários,refractory
radicalismos,radicalisms
abjuram,abjure
socioeconómicas,socioeconomic
param,stop
coeficiente,coefficient
gini,gini
contraria,contrary
orbán,orbán
avalia,evaluates
transparency,transparency
64.º,64th
imperado,reign
acabaria,would end
7.º,7th
perseguiu,chased
étnicos,ethnic
religiosa,religious
ultraliberal,ultraliberal
ultraconservador,ultra conservative
discrimina,discriminates
minorias,minorities
insustentáveis,unsustainable
ppe,ppe
procuramos,we look for
socioeconómica,socioeconomic
pretendemos,we intend
antieuropeísta,anti-European
oposto,opposite
defendemos,we defend
incertezas,uncertainties
criticamente,critically
ipcc,ipcc
estimar,estimate
trajectórias,trajectories
c,ç
intensidades,intensities
carbónica,carbonic
compression,compression
consigam,get
optimização,optimization
simplificada,simplified
artificialmente,artificially
tratável,treatable
versões,versions
simplificadas,simplified
detalhadas,detailed
subsequentes,subsequent
insights,insights
dêem,give
numéricos,numeric
apelativos,appellative
prosperar,thrive
provocações,provocations
tentativas,attempts
sufocar,suffocate
desenvolve-se,develops
infraestrutura,infrastructure
rodoviário,road
inaugurado,opened
concretos,concrete
proeminentes,prominent
concluídos,completed
recuperando-se,recovering
deixadas,left
contrária,contrary
integrante,integral
empenha-se,strive
mantem,keeps
trocas,exchanges
mercadorias,goods
propagada,propagated
remotos,remote
imperatriz,Empress
falarmos,let's talk
nb,nb
nega,deny
carteira,Wallet
rondado,rounded
enormíssimos,enormous
metros,meters
quadrados,squares
apressou,rushed
contrariar-me,upset me
percebemos,we realized
limpando,cleaning up
sabendo,knowing
dizerem-nos,tell us
certeiramente,surely
emprestadado,borrowed
nacionalização,nationalization
resolvido,sorted out
contingente,quota
lidou,dealt
distorções,distortions
subordinar,subordinate
devedores,Debtors
pescadores,fishermen
apanha,catch
reconheceu,recognized
escondidos,hidden
cabalmente,fully
incumpridores,defaulters
isento,free
concordar,to agree
substituam,replace
adulterada,tampered with
letal,lethal
descredibiliza,discredits
restrinja,restrict
desconfiar,suspect
galileu,Galilean
apela,calls
acionáveis,actionable
comecemos,let's start
fragilizando,weakening
interferir,interfere
censurar,censor
regulamentar,regulate
infame,infamous
mostra-nos,show us
destrutivo,destructive
despótico,despotic
desinformada,uninformed
manipulada,manipulated
vacina,vaccine
frentes,fronts
inspeções,inspections
preconizadas,advocated
flexibilizaram,relaxed
contratuais,contractual
concentrar-se,concentrate
quantitativo,quantitative
ratificou,ratified
formulação,formulation
recorrentes,recurrent
procede,proceeds
gozados,enjoyed
distributivos,distributive
adoptadas,adopted
merecerem,deserve
promovidas,promoted
realça,highlights
melhorem,get better
inspeção,inspection
amiguismo,friendliness
declarados,declared
esclarecida,enlightened
canibalização,cannibalization
anestesia,anesthesia
vitais,vitals
anti-tratamento,anti-treatment
falência,bankruptcy
aconselhe,advise
propício,propitious
desconfiada,suspicious
garras,claws
afiadas,sharp
desfazem-se,fall apart
perdurar,endure
advinha,guess what
coma,with the
enfraquecendo,weakening
judicatura,judiciary
clamoroso,clamorous
bioeconomia,bioeconomy
fabricados,manufactured
matérias-primas,raw material
renováveis,renewable
endógena,endogenous
renovável,renewable
reutilizável,reusable
reciclável,recyclable
substituto,substitute
aço,steel
têxteis,textiles
pinheiro,Pine
bravo,angry
tragédias,tragedies
catalisadoras,catalysts
necessitarão,will need
ambiciosos,ambitious
reforçado,reinforced
coesa,cohesive
aproveitemos,let's enjoy
infinidade,infinity
regulares,regular
livremente,freely
caraíbas,caribbean
multidimensionais,multidimensional
birregional,bi-regional
tornem,turn
diversidades,diversities
peritos,experts
generalizações,generalizations
simplificações,simplifications
perceções,perceptions
superioridade,superiority
congestionado,congested
localidades,places
évora,évora
uniformes,uniforms
revertam,revert
irc,irc
município,County
otimização,optimization
atrai,attracts
donas,ladies
coletivamente,collectively
inibe,inhibits
representava,represented
abarque,encompass
sub-conjuntos,sub-assemblies
agressivos,aggressive
regabofe,relish
frankenstein,frankenstein
fá-lo,I speak
fiscalmente,fiscally
ricas,rich
sofisticadas,sophisticated
agressivas,aggressive
sacar,to withdraw
congéneres,counterparts
isolados,isolated
defenderam,defended
qualificada,qualified
unanimemente,unanimously
consignada,consigned
admite,admits
aplausos,applause
angola,Angola
merecidos,deserved
desagravar,make amends
atingidas,hit
selvajaria,savagery
conto,tale
fadas,fairies
sanguinolentos,bloody
decidido,decided
repará-los,repair them
partido-estado,party-state
socorre,help
artifícios,artifice
propagandísticos,propagandistic
historieta,comic strip
apunhala,stab
charlatanice,quackery
denunciada,denounced
folclore,folklore
indemnizações,indemnities
produzidas,produced
errático,erratic
ridículas,ridiculous
institucionalmente,institutionally
irresponsáveis,irresponsible
expoente,exponent
consequentemente,consequently
disposições,provisions
cometidos,committed
inscrevem-se,sign up
furtar,steal
leviandade,levity
reputarem-se,reputed themselves
matadouro,slaughterhouse
imundo,unclean
feio,ugly
sequestraram-se,kidnapped themselves
torturou,tortured
matou,killed
chacinou-se,slaughtered himself
requintes,refinements
crueldade,cruelty
penitenciárias,penitentiaries
carrascos,executioners
vestidos,dresses
pele,skin
hienas,hyenas
chacais,jackals
escancararam,opened wide
atrozes,atrocious
barbaridades,barbarities
privaram-se,deprived themselves
massacres,massacres
pronunciados,pronounced
explicitamente,explicitly
pistoleiros,gunslingers
pitoko,pitoko
limitaram,limited
mandantes,principals
mpla,mpla
faz-se,it is done
constrição,constriction
mordaça,gag
assassinos,Murderers
infâmia,infamy
despir,strip
frases,phrases
sibilinas,sibyllines
expuser,expose
programático,programmatic
molde,mold
remover,to remove
escolhos,pitfalls
embaraçam,embarrass
dossier,file
providências,measures
palpáveis,palpable
nego,deny
gastarem,spend
reparar,to repair
medonhos,hideous
chacinas,slaughters
programadas,scheduled
certidões,certificates
óbito,death
antro,den
segredos,secrets
ocultos,hidden
chefias,bosses
cimeiros,summits
imprescritíveis,imprescriptible
dinossauros,dinosaurs
burlescos,burlesque
indecentes,indecent
eleito,elected
inamovibilidade,immovability
atribuídas,assigned
cgi,cgi
erc,er
assegurado,assured
submeter,to submit
quotidiana,everyday
insensibilidade,insensitivity
captura,catch
compensatória,compensatory
verba,budget
voltaria,would come back
estrita,strict
subordinada,subordinate
conduziram,led
criava-se,was created
recorde-se,remember
mudava,changed
governamentalização,governmentalization
nomeação,appointment
vinculativo,binding
escrutinados,scrutinized
designa,designates
cooptação,cooptation
ouvinte,listener
espectador,viewer
auditorias,audits
conferiu-lhe,gave him
maioritária,majority
politização,politicization
existirá,will exist
relutância,reluctance
negativas,negatives
constituiria,would constitute
extinguiu,extinguished
substituí-la,replace it
inovadora,innovative
justificaria,would justify
permitisse,allow
fiscalizar,oversee
quedo,fall
mudo,mute
correia,belt
falar-se,speak up
podre,rotten
encoberto,covered up
passadas,footsteps
contraordenacionais,administrative offenses
bancárias,bank
bando,gang
imputam,impute
contestações,contestations
indefensável,indefensible
aposentado,retiree
trabalhadora,worker
roupa,clothing
esgotar-se,run out
registou-se,registered
esquecidas,forgotten
visitar,visit
hospital,hospital
encontrei,found it
ansiedade,anxiety
vividas,lived
inspirou,inspired
alento,breath
cobrado,charged
consulados,consulates
maputo,maputo
emolumentos,fees
consulares,consular
impulsionado,driven
residente,resident
província,province
moçambicanos,Mozambicans
elos,links
linguísticos,linguistic
afetivos,affective
unem,unite
arrancaram,pulled out
recuperada,recovered
procurador-geral,attorney general
atenuar,attenuate
solicitado,requested
mueller,mueller
supervisionar,supervise
entregou,delivered
minucioso,thorough
recém-empossado,newly sworn in
acabarão,will end
segura,safe
tapete,mat
argumentar,to argue
depositasse,deposit
pesadas,heavy
enfrentamos,we face
encurralado,cornered
lealdade,loyalty
barr,bar
insultuosamente,insultingly
escassas,scarce
gerou,generated
jurisdições,jurisdictions
caímos,we fell
peculiar,peculiar
poderosa,powerful
dgcom,dgcom
vestager,dresser
autoestrada,highway
puxem,pull
restritivos,restrictive
qualificar,qualify
angustiante,distressing
globalizado,globalized
aprovou,approved
criassem,create
gerassem,generate
posicionada,positioned
fixariam,would fix
excluídos,excluded
restritiva,restrictive
instalam,install
zfm,zfm
prejudicando,harming
votaram,voted
negociada,negotiated
longamente,long
pedra,stone
angular,angular
continuados,continued
diagnóstico,diagnosis
atendimento,attendance
farmácia,drugstore
contratualizados,contracted
concessionado,concessioned
diz-me,tell me
proferida,uttered
muralhas,walls
falharmos,we fail
conjuntural,cyclical
desperdiçar,to waste
provar,to test
emitido,issued
consiste,It consists
elcano,elcano
apurada,accurate
recolhe,collect
consensos,consensus
sevilha,seville
valladolid,valladolid
destruído,destroyed
atravessaram,crossed
victoria,victory
concepción,conception
tidore,tyor
molucas,moluccas
cravo,clove
verdadeiras,true
índico,indigo
noções,notions
contêm,contain
referidos,referred
prisioneiros,prisoners
libertados,freed
detenho,I hold
concluído,concluded
indirecta,indirect
ocorrida,occurred
seguiu,followed
pacífico,Pacific
espanhóis,Spanish
nacionalidades,nationalities
monarca,monarch
assinalar,point out
embarcado,boarded
sanlúcar,sanlucar
barrameda,barrameda
interceptada,intercepted
navio,ship
percorria,roamed
tordesilhas,tordesillas
proibira,forbade
terminantemente,strictly
navegado,navigated
armada,armada
saragoça,zaragoza
assinado,signed
castela,chatelaine
pertenciam,belonged
massacre,massacre
cebu,cebu
não-referencial,non-referential
novo-moderno,new-modern
inflexões,inflections
tornar-se-ia,would become
trajecto,path
refundação,refoundation
embrião,embryo
presciente,prescient
trienal,triennial
convocados,summoned
anfitriã,hostess
imersa,immersed
profundis,deep
excêntrica,eccentric
névoa,mist
vitalidade,vitality
contestado,contested
inusitada,unusual
aderência,grip
historicista,historicist
shortlist,shortlist
rohe,rohe
prominentes,prominent
vigas,beams
metálicas,metallic
cor-de-laranja,Orange
verde-alface,lettuce green
belgas,belgians
vylder,vylder
recordarem-nos,remind us
pritzker,pritzker
metabolista,metabolic
proto-pós-modernista,proto-postmodernist
arata,arata
isosaki,isosaki
constelação,constellation
fim-da-história,History end
imaculado,immaculate
dotada,gifted
preconizara,had advocated
semiótica,semiotics
fenomenológicos,phenomenological
paralelo,parallel
circunscrito,circumscribed
advocacia,advocacy
gasoso,gaseous
atomizado,atomized
desenha-se,draw
franceses,french
esgotamento,exhaustion
reportório,repertoire
irreverência,irreverence
estimulantes,stimulants
desafiar,to challenge
certeiras,accurate
manifesta,manifests
dissoluto,dissolute
compasso,compass
aprisionada,imprisoned
dialéctica,dialectic
materialismo,materialism
suspensa,suspended
tecno-científica,techno-scientific
doutrinas,doctrines
sedução,seduction
auráticos,auratic
congrega,congregate
reinventaram,reinvented
enriqueceram,enriched
6a,6th
bruther,bruther
office,office
kgdvs,kgdvs
turcos,turks
desenho,design
emi,emi
gafpa,gafpa
lütjens,lütjens
padmanabhan,padmanabhan
monadnock,monadnock
ted’a,give to you
redescoberta,rediscovery
prematuramente,prematurely
descartados,discarded
excêntricos,eccentrics
caccia,caccia
dominioni,dominion
escritor-artista,writer-artist
géneros,genres
reconhecível,recognizable
fortíssimo,fortissimo
tropismo,tropism
narrativo,narrative
ficcional,fictional
poético,poetic
ensaístico,essayistic
estáveis,stable
improvável,unlikely
artista-escritor,artist-writer
respeitosa,respectful
consubstanciais,consubstantial
co-implicação,co-implication
verbal,verbal
visual,visual
escritor,writer
hífen,hyphen
elidido,elided
heterónimos,heteronyms
biografias,biographies
desprevenido,off guard
jubilante,jubilant
plástico-literária,plastic-literary
fatalmente,fatally
ignorada,ignored
circunspectos,circumspect
des-definição,de-definition
essencialista,essentialist
permaneceu,remained
romantismo,romanticism
visuais,visuals
articula-a,articulate it
prioritariamente,primarily
manchetes,headlines
britânica,british
louvava,praised
classificou-a,classified it
sistémico,systemic
sofisticação,sophistication
chinesa,chinese
correspondia,corresponded
saltou,jumped
inverteram-se,inverted
chineses,Chinese
intervencionista,interventionist
conduz,leads
ai,there
anti-competitivas,anti-competitive
doméstico,domestic
esboçar,sketch
unilateralismo,unilateralism
lutas,fights
bem-vindas,welcome
partilharem,share
vice-versa,vice versa
estará,will be
embarcar,to board
pagariam,would pay
chinês,Chinese
discricionária,discretionary
solidificar,solidify
assumidos,assumed
híbrida,hybrid
20.ª,20th
policy,policy
auxílios,aid
pressiona,press
não-reciprocidade,non-reciprocity
assertivo,assertive
volte-face,turn face
culminar,culminate
mantenho,keep
sacramental,sacramental
igreja,church
patriarcas,patriarchs
orientais,oriental
compareceram,attended
reinos,realms
enviaram,sent
deixou-se,left himself
enredar,entangle
obsessões,obsessions
cruzada,crusade
albigenses,albigensians
concílio,council
magníficas,magnificent
eucaristia,Eucharist
sacerdócio,priesthood
acolhendo,welcoming
transubstanciação,transubstantiation
cunhado,brother-in-law
escolástica,scholastic
celebrações,celebrations
testemunhada,witnessed
evangelhos,gospels
confissão,confession
valha,worth
absolvição,absolution
acolhe,welcomes
frutificar,bear fruit
reunir-se,gather up
espirituais,spiritual
eucarísticas,eucharistic
casados,married
padres,priests
ordenados,ordered
polarizar,polarize
pastoral,pastoral
calamitosa,calamitous
desobriga,release
comungar,commune
páscoa,Easter
ressurreição,resurrection
enchia,filled
sacramento,sacrament
misericórdia,compassion
eucarística,eucharistic
aventura,adventure
hóstia,wafer
cálice,Cup
missa,mass
ritual,ritual
tradicionalmente,traditionally
católicas,catholic
baptismo,baptism
subsistem,subsist
rituais,rituals
traga,bring on
algo,something
incompleto,incomplete
invenções,inventions
observamos,we observe
sejam,be
assistiremos,we will watch
bits,bits
nanotecnologias,nanotechnologies
biologia,biology
biotecnologia,biotechnology
usamos,we use
representada,represented
processados,processed
guardados,saved
ecológicos,ecological
codificam,encode
espiral,spiral
dna,dna
vertente,strand
relacionada,related
experimentais,experimental
ajustado,adjusted
atravessado,crossed
custou,cost
percebem,realize
ajustada,adjusted
feroz,fierce
aproxima-se,get close
mit,mit
imperial,imperial
zurich,zurich
munique,Munich
televisões,televisions
inteligentes,smart
bit,bit
abreviatura,abbreviation
binary,binary
digit,type
desenvolvem,develop
elisão,elision
expropriação,expropriation
resolveria,would solve
contribuiria,would contribute
federalista,federalist
ostentam,boast
esgotar,run out
assumpção,assumption
tributados,taxed
agressivo,aggressive
combatem-se,fight each other
aprofundamento,deepening
âmago,core
precedente,precedent
moldura,frame
atrasar,delay
acena-se,beckon
passaria,would pass
quebrando,breaking
perpetuamente,perpetually
tributado,taxed
ousam,dare
refúgio,refuge
hipócrita,hypocritical
adiando,postponing
empenhadamente,earnestly
incorreto,incorrect
travestido,transvestite
inutilidade,uselessness
objetivamente,objectively
lobistas,lobbyists
obrigarem,oblige
consultores,consultants
testas,foreheads
influenciem,influence
ocultas,hidden
atirem,shoot
aprovem,approve
desonestas,dishonest
chumbem,fail
voltemos,let's go back
informal,informal
opaca,opaque
lobbying,lobbying
legalizar,legalize
certos,certain
impopularidade,unpopularity
apelamos,we appeal
regulem,regulate
perigosíssimo,very dangerous
deixaremos,we will leave
passaremos,we will pass
palavra-passe,password
fornecida,provided
influentes,influential
honestas,honest
sensíveis,sensitive
aplicando,applying
sigilo,secrecy
confidencialidade,confidentiality
prerrogativa,prerogative
confidenciais,confidential
forçados,forced
moçambicana,Mozambican
ciclones,cyclones
inundação,inundation
ciclone,Hurricane
corrupta,corrupt
melhoradas,improved
180.º,180th
vastas,vast
agrícolas,agricultural
abundantes,abundant
depauperou,depleted
mergulhou,dove
compradas,bought
usadas,used
restabelecer,restore
transitabilidade,passability
estrada,road
n6,n6
sugerido,suggested
meritórios,meritorious
recompensando,rewarding
generosamente,generously
déspotas,despots
idh,idh
pnud,pnud
devastações,ravages
cíclicas,cyclical
afectadas,affected
idai,go
expedito,expeditious
diligenciar,expedite
ex-ministro,ex-minister
sul-africana,South African
acusado,accused
frota,fleet
guebuza,guebuza
acusadas,accused
procuradoria-geral,Attorney General
aceitarem,accept
ensinado,trained
contraditar,contradict
avançados,advanced
mentais,mental
parolice,gossip
direi,I will say
burlesco,burlesque
opõem,oppose
obesos,obese
gansos,geese
reservados,reserved
foie,foie
gras,thanks
iguaria,delicacy
supõe,suppose
hipertrofia,hypertrophy
fígados,livers
funil,funnel
goelas,throats
fracção,fraction
diminuta,tiny
despejado,dumped
vazadouro,dump
rodoviária,bus station
literacias,literacies
curriculares,curriculum
levaremos,we will take
cova,pit
ajustar,adjust
curriculum,curriculum
serenidade,serenity
lirismos,lyricisms
supervenientes,supervening
lúdica,playful
imediatamente,immediately
utilitária,utilitarian
pacificamente,peacefully
instrumentais,instrumentals
alucinados,hallucinating
equiparável,comparable
intuito,intention
estertor,rattle
terminem,finish
sujeição,subjection
exames,exams
terminam,end
12.º,12th
científico-humanística,scientific-humanistic
originários,originating
óbvias,obvious
segundas,mondays
tornando,making
consagra-se,consecrate
mediáticas,media
votará,will vote
correria,rush
devastador,devastating
travando,locking
princípios-chave,key principles
melhorando,improving
intransigência,intransigence
publicitar,advertise
concedem,grant
alarga-se,widens
obrigadas,obliged
resolve-se,solve
ocultação,concealment
intencional,intentional
inibidos,inhibited
exerceram,exercised
rejeitado,rejected
respeitando,respecting
afetar,to affect
introduzida,introduced
noticiada,reported
proibidos,forbidden
findos,closed
sucessor,successor
transatlântica,transatlantic
puseram,put
rearmamento,rearmament
bósnia-herzegovina,Bosnia Herzegovina
reinventar,reinvent
pós-guerra,post-war
alinharam,lined up
polónia,Poland
checa,czech
ifor,ifor
norte-americanas,american
hegemónica,hegemonic
lehman,lehman
brothers,brothers
forçaram,forced
retraimento,withdrawal
recentragem,refocusing
prioridades,priorities
prejudicaria,would harm
concepções,conceptions
percepções,perceptions
paralisam,paralyze
perturbadores,disturbing
indo-pacífico,indo-pacific
dominada,dominated
fixar,fix
formidavelmente,formidably
hipóteses,hypotheses
sobrepostas,overlapping
instituído,instituted
fazia,did
desenraizamento,uprooting
candura,candor
permitia,allowed
arquitecturas,architectures
detestava,hated
lembro-me,I remember
sinalizava,signaled
estereótipos,stereotypes
sublinhem,underline
marcantes,striking
declarada,declared
constatação,realization
contraproducente,counter-productive
soa,sounds
arrogante,arrogant
enredaram-nos,entangled us
agimos,we act
terapia,therapy
curam-se,heal
imunitário,immune
incansáveis,tireless
argumentativa,argumentative
medicinas,medicines
convencer,to convince
indecisos,undecided
predispostos,predisposed
cientismo,scientism
encantatórias,incantations
pseudociência,pseudoscience
validade,validity
mecânica,mechanics
quântica,quantum
empírica,empirical
instruídos,educated
heliocentrismo,heliocentrism
correcta,correct
desafia,defy
intuição,intuition
histórias,stories
equivalência,equivalence
astrólogos,astrologers
astrónomos,astronomers
charlatanismo,quackery
apoia,supports
sucedâneas,substitutes
reconhecia,recognized
terapêuticas,therapeutics
reverter,to reverse
silenciosamente,silently
terapias,therapies
curar,heal
retardar,slow up
inócuas,innocuous
pacientes,patients
recorrem,resort
nexo,nexus
causalidade,causality
placebo,placebo
vieses,biases
cognitivos,cognitive
confirmação,confirmation
reforcem,reinforce
comprimido,pill
funcionou,It worked
fervorosos,fervent
empreendedores,entrepreneurs
agulhas,needles
mezinhas,tidbits
comprimidos,pills
testemunha,witness
jeová,Jehovah
animados,animated
conspirativa,conspiratorial
farmacêuticas,pharmaceuticals
emergente,emerging
triunfo,triumph
encarando,facing
virtuoso,virtuous
multiculturalismo,multiculturalism
secularizada,secularized
sentem-se,feel
tentados,tempted
redenção,redemption
energias,energies
cósmicas,cosmic
enigmáticas,enigmatic
charlatão,charlatan
boxe,boxing
soqueia,punch
cintura,waist
basta-lhe,enough for you
desencantado,disenchanted
enésima,umpteenth
neutra,neutral
homeopata,homeopath
adoptou,adopted
frisarem,stress
homeopatas,homeopaths
cordialidade,cordiality
coloridos,colorful
conspícuos,conspicuous
pintassilgos,goldfinches
facilitou,facilitated
alegórico,allegorical
dá-nos,give us
nidificantes,breeding
metodologicamente,methodologically
acantonada,cantonated
espacialmente,spatially
biologicamente,biologically
impressionante,impressive
desaparecimento,disappearance
sebes,hedges
fertilizantes,fertilizers
pesticidas,pesticides
bizarro,bizarre
dirigidos,directed
ameaçadas,threatened
assaz,enough
efectivos,effective
robusta,robust
atenua,attenuates
numéricas,numeric
usual,usual
abundâncias,abundances
mostrarem,show
amostragem,sampling
hesita,hesitate
pardal-doméstico,house sparrow
pintassilgo,goldfinch
qualificado,qualified
submergido,submerged
extemporânea,extemporaneous
ativamente,actively
móvel,mobile
admirável,admirable
generalizar,generalize
micro-ondas,microwave
internet,Internet
g,g
automatizar,automate
tarefas,tasks
alterando,changing
impactando,impacting
dianteira,forward
paradigmático,paradigmatic
apercebe-se,realizes
aquedutos,aqueducts
revolucionaram,revolutionized
tibre,tiber
administrar,administer
vastíssimo,immensely vast
estendia,extended
babilónia,Babylon
superpotências,superpowers
fidelização,loyalty
herdeira,heiress
contenda,strife
soviéticos,soviet
dominar,master
descendentes,descendants
trataram,treated
fibra,fiber
consultora,consultant
estima,esteem
reposiciona,reposition
produtor,producer
anunciando,announcing
campainhas,bells
departamento,Department
ecosystem,ecosystem
dominaram,dominated
chinesas,chinese
reações,reactions
incursões,incursions
díspares,disparate
bipolares,bipolar
maquinista,train driver
securitário,insurance
cavalo,horse
tróia,trojan
backdoor,backdoor
penetrar,penetrate
telecomunicações,telecommunications
acenando,waving
triunfar,triumph
tabuleiro,board
xeque-mate,checkmate
pairando,hovering
mc,mc
liquidou,liquidated
espoliada,plundered
assassinato,murder
sangrada,bled
cotizações,contributions
roubada,stolen
transferidas,transferred
exportadores,exporters
aguardente,brandy
vínica,wine
prometidas,promised
garantidas,guaranteed
protocolos,protocols
assinados,signed
secretários,secretaries
cumpridos,fulfilled
directores,directors
cometeram,committed
mobilizado,mobilized
mediáticos,media
kevin,kevin
spacey,spacey
avital,vital
alegadas,alleged
masculinas,male
socioeconómico,socioeconomic
provinham,came from
atrizes,actresses
famosas,famous
tarana,tarana
represálias,reprisals
boleia,ride
denunciarem,denounce
denúncia,complaint
assombrados,haunted
depressivos,depressives
stress,stress
pós-traumático,post-traumatic
testemunho,a testimony
lidarem,deal
calúnia,slander
idealmente,ideally
viveríamos,we would live
verbaliza,verbalizes
passarem,pass
escamoteia,conceals
falem,speak
posteriori,posteriori
revelações,revelations
propostos,proposed
esforçado,hardworking
emancipatório,emancipatory
insistindo,insisting
apelando,appealing
alegados,alleged
impressões,impressions
ser-se,be yourself
machista,male chauvinist
exortando,exhorting
escutar,to listen
investindo,investing
impelem,impel
recetivo,receptive
disruptivo,disruptive
i4.0,i4.0
pressupostos,assumption
diretos,direct
hiper-conectada,hyper-connected
assunção,assumption
obrigando,obliging
hiper-conectividade,hyper-connectivity
conectado,connected
adiadas,postponed
registando,registering
ratificada,ratified
compatibilizar,compatible
lusófona,lusophone
catalã,catalan
tangencial,tangential
tentação,temptation
re)pensar,rethink
lusófono,lusophone
despertando,waking up
letargia,lethargy
grã-bretanha,Great Britain
reatar,resume
desestabilização,destabilization
causada,caused
25/6/1975,6/25/1975
considerará,will consider
abusivo,abusive
atribuo,I attribute
conterrâneos,countrymen
presumo,presume
desautoriza,disallows
abusivamente,abusively
confiro,I check
citação,quote
zimbabwe,zimbabwe
flagelado,flagellated
desaparecidas,missing
danificadas,damaged
gravidez,pregnancy
decorrente,due
causados,caused
enterro,burial
cadáveres,dead bodies
frise-se,stress
dramática,dramatic
voluntários(as,volunteers
cruz,cross
acolherem-nos,welcome us
emigram,emigrate
fogem,flee
concreta,concrete
conferido,conferred
consubstancia-se,embodies
provações,trials
solidários,solidary
donativos,donations
relevando,highlighting
desinteressada,disinterested
omissão,omission
mercantil,mercantile
in)acção,in)action
desumanizada,dehumanized
afã,eagerness
consumismo,consumerism
insensível,insensitive
angolano,angolan
bipolar,bipolar
preec,preec
desconcentração,deconcentration
territorialização,territorialization
executor,executor
intermédios,intermediates
supramunicipais,supramunicipal
intermunicipais,intercity
descoordenada,uncoordinated
contratualização,contractualization
opacidade,opacity
cims,cims
qren,qren
realizada,fulfilled
recuperados,recovered
evitou,avoided
valorizou,valued
alavancagens,leverages
elitistas,elitists
epidemiológica,epidemiological
verificado,verified
desproporcional,disproportionate
adeque,suit
confinar,confine
intrínsecas,intrinsic
concretizaria,would materialize
atravessou,crossed
garantam,guarantee
correção,correction
suportam,support
fustigados,harassed
concedam,grant
descurar,neglect
válvula,valve
enfraquece,weakens
subjugação,subjugation
menorização,understatement
enraizado,rooted
istambul,Istanbul
órfãos,orphans
luto,grief
resultarem,result in
vitimização,victimization
secundária,secondary
vitimas,victims
desculpabilizante,excusing
agressões,aggression
residir,reside
conjugais,marital
agiu,acted
estruturada,structured
estruturámos,we structured
disseminadas,widespread
efetivo,effective
agressor,aggressor
desconstrução,deconstruction
formativas,formative
aperfeiçoamentos,improvements
democratizador,democratizing
denuncia,complaint
impune,unpunished
formalmente,formally
exerce,exercises
neutralizar,neutralize
resistências,resistances
restringido,restricted
nortecêntrico,northcentric
colhem,reap
selectividade,selectivity
protagoniza,stars
jurídico-judiciário,legal-judicial
desesperadas,desperate
revogação,revocation
assange,assange
processado,processed
sórdidos,sordid
dislates,nonsense
processuais,procedural
provado,proven
transitado,carried over
rapidez,speed
soubéssemos,we knew
perturbadoras,disturbing
acusador,accuser
conquistou,conquered
ilustra,illustrates
promiscuidade,promiscuity
desconchavos,disconcerted
eleger,to elect
entregasse,deliver
privatizasse,privatize
reduzisse,reduce
acabasse,finished
rendesse,surrender
incondicional,unconditional
descartável,disposable
moro,I live
carrasco,executioner
clínicos,clinicians
condução,driving
porte,size
utentes,users
isenta,exempt
impedimentos,impediments
circunscreve,circumscribe
reguladas,regulated
observadas,observed
sísmica,seismic
dispensa,dismissal
excluídas,excluded
debitaram,debited
vocacionados,oriented
efetivos,effective
pós-bolonha,post bologna
possuam,possess
assinar,to sign
constrangimento,embarrassment
projetista,designer
empreiteira,contractor
incúria,carelessness
imprecisões,inaccuracies
inverdades,untruths
sísmicas,seismic
adotarem,adopt
proactiva,proactive
aprofundarem,delve deeper
promoverem,promote
reinante,reigning
gravoso,burdensome
rentista,rentier
deprimida,depressed
urbanizáveis,urbanizable
aglomeração,crowd
deveriam,should
desproporcionais,disproportionate
realismo,realism
louvável,commendable
egoísta,selfish
capitalism,capitalism
centro-esquerda,center left
paternalista,patronizing
reconstruir,rebuild
recíprocas,reciprocal
abandonaria,would abandon
regressando,returning
sobreviveu,survived
falsos,false
marx,marx
previram,predicted
salvando-se,saving yourself
bancarrota,bankruptcy
imprevista,unforeseen
fortuita,fortuitous
distributiva,distributive
fê-lo,did it
recaiam,relapse
anestesiou,anesthetized
exclusórios,exclusive
fraturas,fractures
pronunciadas,pronounced
metropolitanos,metropolitans
prósperos,prosperous
comunitária,community
recorda,remember
nostalgia,nostalgia
assentava,sat
excessivamente,overly
desconexão,disconnection
estruturadas,structured
aceita,accepted
investigações,investigations
qualitativas,qualitative
quantitativas,quantitative
inconsequentes,inconsequential
métricas,metrics
sintam,feel
desconfortáveis,uncomfortable
ameaçados,threatened
feiras,fairs
vaidades,vanities
desperdícios,waste
desumanização,dehumanization
crispados,crisped
proliferam,proliferate
ameaçada,threatened
platónicas,platonic
cepticismo,skepticism
prolífera,prolific
relacional,relational
doente,sick
tarda,late
acertar,to hit
motivado,motivated
ajude,help
desempenhos,performances
optimismo,optimism
ocupando,occupying
ilhotas,islets
pensar-se,think up
estabelecimentos,establishments
preparam,prepare
contemplando,contemplating
biomédicos,biomedical
egos,egos
necessitados,needy
necessitar,need
correcção,correction
